3,3,2,2,12
0.3,2.0,0.0,0.5,0.0,0.0
0.7,2.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
1.3,2.0,0.0,10.0,0.0,0.0
1.7,2.0,0.0,0.0,0.0,0.0
2.0,2.0,0.0,0.0,0.0,0.0
2.3,2.0,0.0,2.0,0.0,0.0
2.7,2.0,0.0,0.0,0.0,0.0
3.0,2.0,0.0,0.5,0.0,0.0
3.3,1.0,0.0,0.0,0.0,0.0
3.7,2.0,0.0,0.0,0.0,0.0
4.0,2.0,0.0,0.0,0.0,0.0
4.3,1.0,0.0,0.0,0.0,0.0
4.7,2.0,0.0,0.5,0.0,0.0
5.0,2.0,0.0,0.5,0.0,0.0
5.3,2.0,0.0,0.5,0.0,0.0
5.7,1.0,0.0,0.0,0.0,0.0
6.0,2.0,0.0,0.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0,0.0
